@relation allSongsAllFieldsRankClassWithDate

@attribute IS_EXPLICIT {TRUE, FALSE}
@attribute WEEK date "yyyy-MM-dd"
@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
FALSE,"1996-09-28",241,72,12,4,31-40
FALSE,"2001-02-24",226,77,9,3,41-50
FALSE,"1980-07-05",176,93,9,3,31-40
FALSE,"1995-05-20",511,117,11,3,11-20
TRUE,"2012-02-18",460,167,12,3,11-20
TRUE,"2012-03-03",460,167,12,3,21-30
TRUE,"2011-01-01",470,172,12,3,21-30
FALSE,"1998-01-24",219,105,11,4,41-50
FALSE,"1987-01-24",197,76,9,3,1-10
FALSE,"1994-10-15",278,95,10,3,1-10
FALSE,"1982-10-30",354,146,13,3,21-30
FALSE,"1981-10-24",225,62,9,4,21-30
FALSE,"1980-07-05",62,17,11,4,31-40
TRUE,"2000-01-08",2739,1140,18,4,1-10
FALSE,"2001-09-01",286,142,9,3,11-20
FALSE,"2014-06-21",213,132,10,3,31-40
FALSE,"1984-04-14",189,91,12,4,1-10
FALSE,"1983-11-05",260,91,45,5,31-40
TRUE,"1998-07-04",205,78,8,3,41-50
TRUE,"1997-09-27",570,252,16,4,41-50
TRUE,"1997-10-18",570,252,16,4,31-40
FALSE,"2013-11-02",266,127,11,3,41-50
TRUE,"1994-01-15",535,265,14,3,41-50
TRUE,"2005-01-22",288,158,10,4,21-30
FALSE,"2005-09-10",249,31,15,3,41-50
FALSE,"1985-06-01",1,1,0,0,1-10
TRUE,"2015-04-11",429,213,15,4,21-30
TRUE,"2007-09-29",730,200,13,3,1-10
TRUE,"2015-07-18",386,93,8,4,11-20
TRUE,"1990-11-24",604,169,15,3,21-30
TRUE,"2005-06-04",356,89,12,4,21-30
FALSE,"1980-01-05",207,71,8,3,1-10
TRUE,"2002-10-26",478,164,12,4,11-20
FALSE,"1995-03-11",405,91,10,4,1-10
FALSE,"2011-03-05",418,139,11,4,41-50
FALSE,"2010-02-06",405,133,10,4,1-10
FALSE,"1991-04-27",249,86,8,3,1-10
TRUE,"2003-10-04",430,173,9,3,1-10
TRUE,"2009-11-28",733,176,17,3,21-30
FALSE,"1988-12-24",18,18,14,5,41-50
FALSE,"1985-04-27",303,90,9,3,41-50
FALSE,"1989-07-01",163,71,10,3,1-10
TRUE,"2007-11-10",749,224,10,3,21-30
FALSE,"2014-11-08",321,70,9,3,41-50
FALSE,"2005-04-02",398,146,11,4,31-40
TRUE,"1992-07-04",679,301,19,4,1-10
FALSE,"1992-03-21",490,124,10,3,31-40
FALSE,"2013-08-10",185,96,11,3,21-30
FALSE,"1984-01-21",188,77,9,3,21-30
FALSE,"1994-05-14",323,94,9,3,1-10
FALSE,"2005-06-18",535,132,10,3,11-20
FALSE,"1993-09-18",278,83,13,3,1-10
FALSE,"2004-12-18",297,87,9,3,21-30
