SONG,YEAR,VERBS,CONJUNCTION,ADJECTIVE,PRONOUN,NUMBER,NOUN,TO,PREPOSITION,ADVERB,INTERJECTION,OTHER,FOREIGN,INTERROGATIVE,SIMPLE NARC,COMPLEX NARC,,,
All Cried Out,1997,63,5,15,50,0,42,6,25,27,2,32,0,6,16,8.96,,,
All Cried Out,1986,52,5,15,44,0,44,4,17,23,0,29,0,4,10,5.227272727,,,
All Day,2015,108,7,39,82,6,206,11,74,52,1,89,0,15,13,6.975609756,,,
All Eyes On You,2015,94,13,22,93,4,123,6,59,26,0,83,0,10,-1,-1.419354839,,,
All Falls Down,2004,108,16,27,102,6,114,9,76,40,0,80,0,13,-5,-8.87254902,,,
All Fired Up,1988,81,2,11,30,0,71,2,36,37,0,59,0,5,-6,-10,,,
All For Love,1994,67,12,6,45,15,56,5,40,18,0,60,0,20,-4,-5.777777778,,,
All For You,2001,97,6,18,84,4,75,12,64,36,0,59,0,3,11,4.05952381,,,
All For You,1997,83,9,12,60,0,55,19,40,36,2,40,0,6,4,2.2,,,
All Gold Everything,2013,43,5,11,34,4,117,2,38,26,0,28,0,2,14,10.29411765,,,
All I Do,1998,154,17,25,136,7,117,6,90,20,0,91,0,8,35,19.04411765,,,
All I Do Is Think Of You,1990,61,10,5,56,0,46,9,28,13,1,40,0,2,7,3.875,,,
All I Do Is Win,2010,133,29,17,96,3,156,1,86,57,1,79,0,7,8,3.166666667,,,
All I Have,2003,142,20,41,124,0,120,12,49,54,4,71,0,20,24,13.93548387,,,
All I Have To Give,1999,117,14,6,100,1,44,31,18,20,1,54,0,5,10,3.9,,,
All I Need,1985,52,6,17,37,1,20,9,14,28,1,30,0,6,3,0.648648649,,,
All I Need Is A Miracle,1986,100,3,6,83,5,37,1,25,14,1,67,0,4,5,1.807228916,,,
All I Need Is You,1991,83,1,12,45,0,23,13,9,15,0,33,0,1,2,0.4,,,
All I Wanna Do,1994,95,22,24,48,9,104,6,44,19,0,86,0,1,3,0.6875,,,
All I Wanna Do Is Make Love To You,1990,94,2,13,56,4,68,21,30,21,9,49,0,4,-4,-6.571428571,,,
All I Want,1997,89,2,22,57,2,56,23,18,9,0,62,0,24,16,4.771929825,,,
All I Want,1992,53,7,10,27,0,31,14,10,11,0,32,0,3,1,0.259259259,,,
All I Want For Christmas Is You,2013,68,5,14,59,2,65,6,34,30,4,38,0,1,13,6.169491525,,,
All I Want To Do,2008,76,7,11,34,0,38,18,13,20,1,40,0,3,5,2.205882353,,,
All I Wanted,1987,55,0,6,48,0,16,12,11,3,0,31,0,4,3,1.1875,,,
All I'm Missing Is You,1990,59,8,14,51,0,60,4,39,12,0,42,0,4,14,7.411764706,,,
All Jacked Up,2005,75,6,27,42,13,90,2,37,20,1,72,1,13,10,5.714285714,,,
All Me,2013,174,24,50,112,8,213,12,102,57,4,126,0,9,14,5.25,,,
All My Life,2002,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
