Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev.
manolo,2002,2003,2002,22,0.7687061147858074
forrest,2014,2014,2014,10,0.0
january,1995,1995,1995,11,0.0
wonder,1982,2009,1992,26,5.291502622129181
action,2014,2014,2014,18,0.0
none,1985,2009,1992,42,5.777625150609235
nelson,1990,1990,1990,16,0.0
eye,1984,2006,2000,52,7.227085804857254
punch,1989,1994,1991,22,2.1637509518930735
intellect,1992,1993,1992,21,0.9258200997725514
peripheral,1998,1998,1998,5,0.0
mistletoe,1997,1998,1997,20,0.5477225575051661
prodigal,2009,2009,2009,1,0.0
forming,1983,1983,1983,15,0.0
dress,2012,2013,2012,16,0.9682458365518543
crushed,1997,1998,1997,20,0.5477225575051661
mack,2000,2006,2002,47,2.931850044059393
acting,1984,1984,1984,6,0.0
noon,2009,2009,2009,1,0.0
females,2011,2012,2011,16,0.5590169943749475
rate,1985,1985,1985,10,0.0
lonely,1982,2013,2001,26,15.05247232440316
major,2013,2014,2013,22,0.674199862463242
cruisin,2002,2003,2002,22,0.7687061147858074
into,1982,2012,1999,201,9.300671350079469
problem,2002,2003,2002,22,0.7687061147858074
bottle,2009,2014,2012,31,1.4027622519457354
daily,1991,1992,1991,18,0.816496580927726
grammar,2000,2000,2000,29,0.0
momma,1999,2014,2002,26,2.8756270219259608
tender,1984,1984,1984,6,0.0
things,1985,2009,1998,141,5.979871674896289
spread,1980,1994,1984,32,6.123724356957945
courtship,1989,1989,1989,14,0.0
couldnt,1982,2012,2000,76,10.368855187277756
hotpink,2010,2010,2010,9,0.0
everyday,1985,2010,1994,37,9.32303163777314
blunt,1995,1996,1995,20,0.6708203932499369
ours,2010,2010,2010,9,0.0
blew,1989,1989,1989,14,0.0
feedback,2014,2014,2014,10,0.0
candle,1997,2009,1997,25,2.4331050121192876
yeah,1982,2014,2001,462,9.072817496016182
hide,2009,2009,2009,17,0.0
hustle,1991,1995,1992,29,1.9028109877684682
pastyle,1993,1994,1993,11,0.5222329678670935
punches,1987,1987,1987,14,0.0
starin,1987,2003,2002,23,3.2770612497758735
california,2014,2014,2014,1,0.0
inna,2006,2006,2006,18,0.0
styles,2000,2000,2000,29,0.0
misuse,1991,1992,1991,18,0.816496580927726
bottom,1991,2009,1992,19,3.9403446282620616
cmon,2000,2000,2000,29,0.0
glasses,2011,2011,2011,21,0.0
corridor,2009,2009,2009,1,0.0
youon,1998,1999,1998,20,0.9486832980505138
excuses,1999,2000,1999,8,0.6123724356957945
rolex,1993,1994,1993,11,0.5222329678670935
exposed,1985,1985,1985,10,0.0
flossin,2014,2014,2014,1,0.0
adventure,1989,1989,1989,14,0.0
strike,1991,1992,1991,18,0.816496580927726
written,1998,1999,1998,20,0.9486832980505138
mixer,2012,2012,2012,14,0.0
blindly,1986,1986,1986,3,0.0
franchise,1986,1986,1986,9,0.0
burbs,2012,2012,2012,8,0.0
tennessee,2012,2012,2012,8,0.0
learning,1983,1983,1983,15,0.0
young,1984,2014,2002,159,8.585493103130382
admit,2005,2005,2005,14,0.0
charm,2009,2010,2009,17,0.6416889479197478
nobodys,1991,1992,1991,18,0.816496580927726
sittin,1988,1988,1988,12,0.0
thirsty,2011,2012,2011,16,0.5590169943749475
nut,2011,2011,2011,21,0.0
stays,1985,1985,1985,8,0.0
quickly,1980,1981,1980,21,0.7559289460184544
mate,2003,2003,2003,22,0.0
burger,1999,2003,2002,30,1.622754859285078
yeee,2011,2011,2011,1,0.0
clyde,2002,2003,2002,22,0.7687061147858074
punks,1993,1994,1993,11,0.5222329678670935
adultery,2011,2011,2011,21,0.0
china,2012,2012,2012,8,0.0
vest,1996,1996,1996,9,0.0
shared,1997,1998,1997,20,0.5477225575051661
vets,1985,1985,1985,10,0.0
rithmetic,1983,1983,1983,13,0.0
mouth,2011,2014,2012,39,1.5442199922988256
scars,2002,2003,2002,17,0.9074852129730301
places,1989,2003,1996,38,6.725833933815431
youth,2007,2007,2007,3,0.0
awhile,1982,1982,1982,10,0.0
eggs,1999,1999,1999,6,0.0
freely,2000,2000,2000,29,0.0
scare,2000,2000,2000,29,0.0
quarter,1995,2003,2000,33,3.7859388972001824
regulate,1999,2000,1999,8,0.6123724356957945
famous,1989,1990,1989,16,0.3535533905932738
mouse,2014,2014,2014,10,0.0
socks,1999,2000,1999,8,0.6123724356957945
didnt,1982,2003,1996,95,6.8587247548766594
