prediction,actual,diff,predSCore,actScore
1985,1985,0,14.42206477,14.42206477
1992,1992,0,14.42206477,14.42206477
2012,2012,0,14.53357308,14.53357308
2006,2006,0,14.57394299,14.57394299
2006,2006,0,14.57394299,14.57394299
1986,1986,0,14.57394299,14.57394299
2010,2010,0,14.57394299,14.57394299
2002,2002,0,14.57394299,14.57394299
2011,2011,0,14.64385619,14.64385619
2011,2011,0,14.72067179,14.72067179
1983,1983,0,14.80175887,14.80175887
1984,1984,0,14.80175887,14.80175887
2001,2001,0,14.80175887,14.80175887
2012,2012,0,14.80175887,14.80175887
2005,2005,0,14.80175887,14.80175887
1993,1993,0,14.80175887,14.80175887
1995,1995,0,14.80175887,14.80175887
2004,2004,0,14.80175887,14.80175887
2003,2003,0,14.80175887,14.80175887
1982,1982,0,14.80175887,14.80175887
2007,2007,0,14.80175887,14.80175887
1983,1983,0,14.80175887,14.80175887
1983,1983,0,14.80175887,14.80175887
1988,1988,0,14.80175887,14.80175887
1992,1992,0,14.80175887,14.80175887
1991,1991,0,14.80175887,14.80175887
1994,1994,0,14.80175887,14.80175887
2005,2005,0,14.80175887,14.80175887
1998,1998,0,14.80175887,14.80175887
2014,2014,0,14.80175887,14.80175887
2011,2011,0,14.80175887,14.80175887
2011,2011,0,14.80175887,14.80175887
2003,2003,0,14.80175887,14.80175887
1986,1986,0,14.80175887,14.80175887
1985,1985,0,14.80175887,14.80175887
1984,1984,0,14.80175887,14.80175887
1980,1980,0,14.80175887,14.80175887
1985,1985,0,14.80175887,14.80175887
1984,1984,0,14.80175887,14.80175887
1990,1990,0,14.80175887,14.80175887
1991,1991,0,14.80175887,14.80175887
1981,1981,0,14.80175887,14.80175887
1987,1987,0,14.80175887,14.80175887
1992,1992,0,14.80175887,14.80175887
2013,2013,0,14.80175887,14.80175887
2003,2003,0,14.80175887,14.80175887
2009,2009,0,14.80175887,14.80175887
2006,2006,0,14.80175887,14.80175887
2004,2004,0,14.80175887,14.80175887
1999,1999,0,14.80175887,14.80175887
1999,1999,0,14.80175887,14.80175887
1987,1987,0,14.80175887,14.80175887
1990,1990,0,14.86258893,14.86258893
1987,1987,0,14.86258893,14.86258893
1984,1984,0,15,15
1997,1997,0,15,15
2006,2006,0,15,15
1994,1994,0,15.13318236,15.13318236
1989,1989,0,15.22941969,15.22941969
1989,1989,0,15.22941969,15.22941969
2001,2001,0,15.22941969,15.22941969
1987,1987,0,15.22941969,15.22941969
1991,1991,0,15.22941969,15.22941969
1996,1996,0,15.22941969,15.22941969
1988,1988,0,15.22941969,15.22941969
1988,1988,0,15.22941969,15.22941969
1999,1999,0,15.22941969,15.22941969
1985,1985,0,15.22941969,15.22941969
1992,1992,0,15.22941969,15.22941969
2008,2008,0,15.22941969,15.22941969
1991,1991,0,15.22941969,15.22941969
2013,2013,0,15.22941969,15.22941969
1985,1985,0,15.22941969,15.22941969
1980,1980,0,15.22941969,15.22941969
1985,1985,0,15.22941969,15.22941969
2009,2009,0,15.22941969,15.22941969
2009,2009,0,15.22941969,15.22941969
2009,2009,0,15.22941969,15.22941969
2010,2010,0,15.22941969,15.22941969
1981,1981,0,15.22941969,15.22941969
1983,1983,0,15.22941969,15.22941969
1991,1991,0,15.22941969,15.22941969
2007,2007,0,15.22941969,15.22941969
1991,1991,0,15.22941969,15.22941969
1980,1980,0,15.22941969,15.22941969
1984,1984,0,15.22941969,15.22941969
1980,1980,0,15.22941969,15.22941969
1981,1981,0,15.22941969,15.22941969
1989,1989,0,15.22941969,15.22941969
2004,2004,0,15.22941969,15.22941969
1995,1995,0,15.26238852,15.26238852
1982,1982,0,15.38784905,15.38784905
2008,2008,0,15.38784905,15.38784905
1984,1984,0,15.38784905,15.38784905
2002,2002,0,15.38784905,15.38784905
2008,2008,0,15.509775,15.509775
2001,2001,0,15.509775,15.509775
1999,1999,0,15.62756238,15.62756238
2014,2014,0,15.62756238,15.62756238
1981,1981,0,15.62756238,15.62756238
2015,2015,0,15.62756238,15.62756238
